grad,kvadrata,sprat,broj_soba,vrsta_grijanja,lift,parking,novogradnja,namjesten,cijena
Sarajevo - Stari Grad,57,4,2,centralno,0,0,0,2,342000
Sarajevo - Novi Grad,33,5,0,centralno,1,1,1,1,198000
Sarajevo - Novo Sarajevo,55.35,2,2,centralno,1,0,0,2,325000
Ilidža,42,6,2,ostalo,1,0,1,2,243600
Ilidža,42,2,1.5,struja,1,1,1,2,242960
Sarajevo - Stari Grad,65,2,2,centralno,0,0,0,2,375000
Sarajevo - Novo Sarajevo,61,20+,2,centralno,0,0,0,2,350000
Sarajevo - Novo Sarajevo,61,20+,2,centralno,1,0,0,2,349000
Sarajevo - Novo Sarajevo,62,20+,2,centralno,1,0,1,0,350000
Sarajevo - Stari Grad,32,1,2,struja,0,0,0,2,180000
Sarajevo - Centar,43,2,2,centralno,1,1,1,2,240000
Sarajevo - Centar,59,4,2,centralno,0,1,0,2,329000
Sarajevo - Novo Sarajevo,48,3,2,centralno,1,1,1,2,265000
Sarajevo - Novo Sarajevo,44,2,3,centralno,0,1,0,2,242000
Sarajevo - Novi Grad,38,3,2,centralno,1,0,1,2,209000
Sarajevo - Stari Grad,71,3,četverosoban,struja,1,1,0,0,390000
Sarajevo - Novi Grad,42,1,2,centralno,1,1,1,1,230000
Sarajevo - Centar,40,4,2,centralno,0,1,0,2,219000
Sarajevo - Centar,64,3,3,centralno,0,1,0,2,350000
Sarajevo - Centar,64,5,2,centralno,1,0,0,2,350000
Sarajevo - Centar,73,1,3,plin,0,1,0,1,399000
Sarajevo - Novi Grad,45,1,2,centralno,1,1,1,2,245000
Sarajevo - Novo Sarajevo,36,prizemlje,1,struja,0,1,1,0,195000
Sarajevo - Centar,73,4,3,centralno,0,1,0,2,395000
Sarajevo - Novi Grad,61,20+,2,centralno,0,0,1,2,330000
Sarajevo - Centar,37,visoko,1.5,centralno,0,0,0,2,200000
Sarajevo - Centar,59,3,3,plin,0,0,0,2,318000
Sarajevo - Stari Grad,65,3,3,struja,0,1,0,2,350000
Sarajevo - Stari Grad,65,2,2,plin,0,0,0,2,350000
Sarajevo - Novi Grad,52,3,3,plin,0,1,0,2,280000
Sarajevo - Stari Grad,67,2,četverosoban,centralno,0,1,0,1,360000
Sarajevo - Stari Grad,69,2,2,struja,0,0,0,2,370000
Sarajevo - Novi Grad,56,3,2,centralno,1,1,1,2,300000
Sarajevo - Centar,63,2,3,centralno,1,1,0,2,335000
Sarajevo - Novo Sarajevo,34,3,2,plin,1,0,1,0,180500
Sarajevo - Novi Grad,49,13,2,centralno,1,0,1,2,260000
Sarajevo - Novi Grad,68,4,3,centralno,1,1,0,2,359500
Sarajevo - Novo Sarajevo,54,1,2,centralno,0,1,0,2,285000
Sarajevo - Stari Grad,74,2,3,centralno,0,1,0,2,390000
Sarajevo - Novi Grad,57,3,3,plin,1,1,1,2,300000
